,years,SSP1-19,SSP1-26,SSP2-45,SSP4-34,SSP4-60
0,2015,10.678016262987025,10.678016262987025,10.676934006337174,10.678016262987025,10.678016262987025
1,2016,10.707525362299847,10.71354101582127,10.758685199424596,10.673848621923582,10.67384876146412
2,2017,10.73703446161267,10.749065768655516,10.840436392512018,10.66968098086014,10.669681259941216
3,2018,10.766543560925493,10.784590521489763,10.922187585599438,10.665513339796696,10.66551375841831
4,2019,10.796052660238315,10.820115274324008,11.00393877868686,10.661345698733253,10.661346256895406
5,2020,10.825561759551137,10.855640027158254,11.085689971774283,10.65717805766981,10.6571787553725
6,2021,10.366112972252221,10.717378487729887,11.16283177148231,10.531259327865426,10.823313060484065
7,2022,9.906664184953303,10.579116948301522,11.239973571190337,10.405340598061043,10.989447365595627
8,2023,9.447215397654388,10.440855408873155,11.317115370898364,10.279421868256659,11.15558167070719
9,2024,8.987766610355472,10.302593869444788,11.39425717060639,10.153503138452276,11.321715975818755
10,2025,8.528317823056554,10.164332330016421,11.471398970314418,10.027584408647892,11.487850280930317
11,2026,8.068869035757638,10.026070790588056,11.548540770022447,9.901665678843507,11.653984586041881
12,2027,7.609420248458722,9.88780925115969,11.625682569730474,9.775746949039124,11.820118891153445
13,2028,7.149971461159805,9.749547711731323,11.7028243694385,9.64982821923474,11.98625319626501
14,2029,6.6905226738608885,9.611286172302957,11.779966169146528,9.523909489430357,12.152387501376571
15,2030,6.231073886561973,9.47302463287459,11.857107968854555,9.397990759625973,12.318521806488135
16,2031,5.893650738434283,9.24869987926938,11.878294445549944,9.21471284856059,12.39965850057413
17,2032,5.556227590306593,9.02437512566417,11.899480922245331,9.031434937495206,12.480795194660127
18,2033,5.218804442178902,8.800050372058958,11.920667398940719,8.848157026429822,12.561931888746123
19,2034,4.881381294051213,8.575725618453747,11.941853875636108,8.664879115364439,12.643068582832118
20,2035,4.543958145923522,8.351400864848536,11.963040352331497,8.481601204299054,12.724205276918113
21,2036,4.206534997795832,8.127076111243326,11.984226829026884,8.298323293233672,12.80534197100411
22,2037,3.8691118496681423,7.902751357638115,12.005413305722271,8.115045382168287,12.886478665090106
23,2038,3.5316887015404523,7.678426604032905,12.02659978241766,7.931767471102903,12.9676153591761
24,2039,3.1942655534127624,7.454101850427694,12.04778625911305,7.74848956003752,13.048752053262096
25,2040,2.8568424052850725,7.229777096822483,12.068972735808437,7.565211648972136,13.129888747348092
26,2041,2.627077116331801,6.9967140900171225,12.047407917932949,7.349747800054713,13.13629625881625
27,2042,2.3973118273785294,6.763651083211762,12.025843100057461,7.134283951137289,13.142703770284408
28,2043,2.167546538425258,6.530588076406403,12.004278282181971,6.918820102219866,13.149111281752567
29,2044,1.937781249471986,6.2975250696010425,11.982713464306483,6.703356253302442,13.155518793220725
30,2045,1.7080159605187144,6.064462062795682,11.961148646430996,6.487892404385018,13.161926304688883
31,2046,1.4782506715654429,5.831399055990322,11.939583828555508,6.272428555467595,13.168333816157041
32,2047,1.2484853826121711,5.598336049184962,11.91801901068002,6.056964706550171,13.174741327625199
33,2048,1.0187200936588996,5.365273042379602,11.89645419280453,5.841500857632748,13.181148839093359
34,2049,0.7889548047056278,5.132210035574241,11.874889374929042,5.626037008715324,13.187556350561517
35,2050,0.5591895157523564,4.899147028768882,11.853324557053554,5.4105731597979005,13.193963862029674
36,2051,0.46165297370202824,4.696359016628839,11.764259869425079,5.280129209050222,13.163600401461132
37,2052,0.36411643165170005,4.493571004488796,11.675195181796603,5.1496852583025445,13.13323694089259
38,2053,0.26657988960137186,4.2907829923487535,11.586130494168128,5.019241307554866,13.102873480324048
39,2054,0.16904334755104367,4.087994980208711,11.497065806539652,4.888797356807188,13.072510019755507
40,2055,0.07150680550071548,3.885206968068668,11.408001118911177,4.758353406059509,13.042146559186964
41,2056,-0.026029736549612714,3.682418955928626,11.318936431282703,4.627909455311832,13.011783098618421
42,2057,-0.12356627859994085,3.479630943788583,11.229871743654227,4.497465504564153,12.98141963804988
43,2058,-0.2211028206502691,3.2768429316485403,11.140807056025752,4.367021553816475,12.951056177481338
44,2059,-0.31863936270059734,3.0740549195084976,11.051742368397276,4.236577603068797,12.920692716912797
45,2060,-0.4161759047509255,2.871266907368455,10.9626776807688,4.106133652321119,12.890329256344254
46,2061,-0.49665750016914273,2.70622189815949,10.82737628720156,3.9915858283656442,12.81966669737631
47,2062,-0.57713909558736,2.5411768889505253,10.692074893634318,3.8770380044101698,12.749004138408365
48,2063,-0.6576206910055773,2.3761318797415605,10.556773500067077,3.7624901804546953,12.67834157944042
49,2064,-0.7381022864237945,2.211086870532596,10.421472106499836,3.6479423564992204,12.607679020472476
