,years,SSP1-19,SSP1-19_zeroed,SSP1-19_2GtC_373,SSP1-19_4GtC_373,SSP1-19_6GtC_373,SSP1-26,SSP1-26_zeroed,SSP1-26_2GtC_373,SSP1-26_4GtC_373,SSP1-26_6GtC_373,SSP2-45,SSP2-45_zeroed,SSP2-45_2GtC_373,SSP2-45_4GtC_373,SSP2-45_6GtC_373,SSP4-34,SSP4-34_zeroed,SSP4-34_2GtC_373,SSP4-34_4GtC_373,SSP4-34_6GtC_373,SSP4-60,SSP4-60_zeroed,SSP4-60_2GtC_373,SSP4-60_4GtC_373,SSP4-60_6GtC_373
23,2038,3.5316887015404523,0.0,0.0,0.0,0.0,7.678426604032905,0.0,0.0,0.0,0.0,12.02659978241766,0.0,0.0,0.0,0.0,7.931767471102903,0.0,0.0,0.0,0.0,12.9676153591761,0.0,0.0,0.0,0.0
24,2039,3.1942655534127624,0.0,0.0,0.0,0.0,7.454101850427694,0.0,0.0,0.0,0.0,12.04778625911305,0.0,0.0,0.0,0.0,7.74848956003752,0.0,0.0,0.0,0.0,13.048752053262096,0.0,0.0,0.0,0.0
25,2040,2.8568424052850725,0.0,0.0,0.0,0.0,7.229777096822483,0.0,0.0,0.0,0.0,12.068972735808437,0.0,0.0,0.0,0.0,7.565211648972136,0.0,0.0,0.0,0.0,13.129888747348092,0.0,0.0,0.0,0.0
26,2041,2.627077116331801,0.0,0.0,0.0,0.0,6.9967140900171225,0.0,0.0,0.0,0.0,12.047407917932949,0.0,0.0,0.0,0.0,7.349747800054713,0.0,0.0,0.0,0.0,13.13629625881625,0.0,0.0,0.0,0.0
27,2042,2.3973118273785294,0.0,0.0,0.0,0.0,6.763651083211762,0.0,0.0,0.0,0.0,12.025843100057461,0.0,0.0,0.0,0.0,7.134283951137289,0.0,0.0,0.0,0.0,13.142703770284408,0.0,0.0,0.0,0.0
28,2043,2.167546538425258,0.0,0.0,0.0,0.0,6.530588076406403,0.0,0.0,0.0,0.0,12.004278282181971,0.0,0.0,0.0,0.0,6.918820102219866,0.0,0.0,0.0,0.0,13.149111281752567,0.0,0.0,0.0,0.0
29,2044,1.937781249471986,0.0,0.0,0.0,0.0,6.2975250696010425,0.0,0.0,0.0,0.0,11.982713464306483,0.0,0.0,0.0,0.0,6.703356253302442,0.0,0.0,0.0,0.0,13.155518793220725,0.0,0.0,0.0,0.0
30,2045,1.7080159605187144,0.0,0.0,0.0,0.0,6.064462062795682,0.0,0.0,0.0,0.0,11.961148646430996,0.0,0.0,0.0,0.0,6.487892404385018,0.0,0.0,0.0,0.0,13.161926304688883,0.0,0.0,0.0,0.0
31,2046,1.4782506715654429,0.0,0.0,0.0,0.0,5.831399055990322,0.0,0.0,0.0,0.0,11.939583828555508,0.0,0.0,0.0,0.0,6.272428555467595,0.0,0.0,0.0,0.0,13.168333816157041,0.0,0.0,0.0,0.0
32,2047,1.2484853826121711,0.0,0.0,0.0,0.0,5.598336049184962,0.0,0.0,0.0,0.0,11.91801901068002,0.0,0.0,0.0,0.0,6.056964706550171,0.0,0.0,0.0,0.0,13.174741327625199,0.0,0.0,0.0,0.0
33,2048,1.0187200936588996,0.0,0.0,0.0,0.0,5.365273042379602,0.0,0.0,0.0,0.0,11.89645419280453,0.0,0.0,0.0,0.0,5.841500857632748,0.0,0.0,0.0,0.0,13.181148839093359,0.0,0.0,0.0,0.0
34,2049,0.7889548047056278,0.0,0.0,0.0,0.0,5.132210035574241,0.0,0.0,0.0,0.0,11.874889374929042,0.0,0.0,0.0,0.0,5.626037008715324,0.0,0.0,0.0,0.0,13.187556350561517,0.0,0.0,0.0,0.0
35,2050,0.5591895157523564,0.0,0.0,0.0,0.0,4.899147028768882,0.0,0.0,0.0,0.0,11.853324557053554,0.0,0.0,0.0,0.0,5.4105731597979005,0.0,0.0,0.0,0.0,13.193963862029674,0.0,0.0,0.0,0.0
36,2051,0.46165297370202824,0.041617590475092545,0.041617590475092545,0.041617590475092545,0.041617590475092545,4.696359016628839,0.0,0.0,0.0,0.0,11.764259869425079,0.0,0.0,0.0,0.0,5.280129209050222,0.0,0.0,0.0,0.0,13.163600401461132,0.0,0.0,0.0,0.0
37,2052,0.36411643165170005,0.08323518095018509,0.08323518095018509,0.08323518095018509,0.08323518095018509,4.493571004488796,0.0,0.0,0.0,0.0,11.675195181796603,0.0,0.0,0.0,0.0,5.1496852583025445,0.0,0.0,0.0,0.0,13.13323694089259,0.0,0.0,0.0,0.0
38,2053,0.26657988960137186,0.12485277142527763,0.12485277142527763,0.12485277142527763,0.12485277142527763,4.2907829923487535,0.0,0.0,0.0,0.0,11.586130494168128,0.0,0.0,0.0,0.0,5.019241307554866,0.0,0.0,0.0,0.0,13.102873480324048,0.0,0.0,0.0,0.0
39,2054,0.16904334755104367,0.16647036190037018,0.16647036190037018,0.16647036190037018,0.16647036190037018,4.087994980208711,0.0,0.0,0.0,0.0,11.497065806539652,0.0,0.0,0.0,0.0,4.888797356807188,0.0,0.0,0.0,0.0,13.072510019755507,0.0,0.0,0.0,0.0
40,2055,0.07150680550071548,0.20808795237546274,0.20808795237546274,0.20808795237546274,0.20808795237546274,3.885206968068668,0.0,0.0,0.0,0.0,11.408001118911177,0.0,0.0,0.0,0.0,4.758353406059509,0.0,0.0,0.0,0.0,13.042146559186964,0.0,0.0,0.0,0.0
41,2056,-0.026029736549612714,0.24970554285055527,0.24970554285055527,0.24970554285055527,0.24970554285055527,3.682418955928626,0.0,0.0,0.0,0.0,11.318936431282703,0.0,0.0,0.0,0.0,4.627909455311832,0.0,0.0,0.0,0.0,13.011783098618421,0.0,0.0,0.0,0.0
42,2057,-0.12356627859994085,0.2913231333256478,0.2913231333256478,0.2913231333256478,0.2913231333256478,3.479630943788583,0.0,0.0,0.0,0.0,11.229871743654227,0.0,0.0,0.0,0.0,4.497465504564153,0.0,0.0,0.0,0.0,12.98141963804988,0.0,0.0,0.0,0.0
43,2058,-0.2211028206502691,0.33294072380074036,0.33294072380074036,0.33294072380074036,0.33294072380074036,3.2768429316485403,0.0,0.0,0.0,0.0,11.140807056025752,0.0,0.0,0.0,0.0,4.367021553816475,0.0,0.0,0.0,0.0,12.951056177481338,0.0,0.0,0.0,0.0
44,2059,-0.31863936270059734,0.3745583142758329,0.3745583142758329,0.3745583142758329,0.3745583142758329,3.0740549195084976,0.0,0.0,0.0,0.0,11.051742368397276,0.0,0.0,0.0,0.0,4.236577603068797,0.0,0.0,0.0,0.0,12.920692716912797,0.0,0.0,0.0,0.0
45,2060,-0.4161759047509255,0.4161759047509255,0.4161759047509255,0.4161759047509255,0.4161759047509255,2.871266907368455,0.0,0.0,0.0,0.0,10.9626776807688,0.0,0.0,0.0,0.0,4.106133652321119,0.0,0.0,0.0,0.0,12.890329256344254,0.0,0.0,0.0,0.0
46,2061,-0.49665750016914273,0.49665750016914273,0.4299908335024761,0.3633241668358094,0.2966575001691427,2.70622189815949,0.0,0.0,0.0,0.0,10.82737628720156,0.0,0.0,0.0,0.0,3.9915858283656442,0.0,0.0,0.0,0.0,12.81966669737631,0.0,0.0,0.0,0.0
47,2062,-0.57713909558736,0.57713909558736,0.4438057622540267,0.3104724289206934,0.17713909558736002,2.5411768889505253,0.0,0.0,0.0,0.0,10.692074893634318,0.0,0.0,0.0,0.0,3.8770380044101698,0.0,0.0,0.0,0.0,12.749004138408365,0.0,0.0,0.0,0.0
48,2063,-0.6576206910055773,0.6576206910055773,0.4576206910055773,0.2576206910055773,0.05762069100557732,2.3761318797415605,0.0,0.0,0.0,0.0,10.556773500067077,0.0,0.0,0.0,0.0,3.7624901804546953,0.0,0.0,0.0,0.0,12.67834157944042,0.0,0.0,0.0,0.0
49,2064,-0.7381022864237945,0.7381022864237945,0.4714356197571279,0.20476895309046123,-0.06189771357620544,2.211086870532596,0.0,0.0,0.0,0.0,10.421472106499836,0.0,0.0,0.0,0.0,3.6479423564992204,0.0,0.0,0.0,0.0,12.607679020472476,0.0,0.0,0.0,0.0
50,2065,-0.8185838818420118,0.8185838818420118,0.4852505485086785,0.15191721517534518,-0.1814161181579882,2.046041861323631,0.0,0.0,0.0,0.0,10.286170712932595,0.0,0.0,0.0,0.0,3.533394532543746,0.0,0.0,0.0,0.0,12.537016461504532,0.0,0.0,0.0,0.0
51,2066,-0.8990654772602291,0.8990654772602291,0.4990654772602291,0.09906547726022907,-0.30093452273977084,1.8809968521146665,0.0,0.0,0.0,0.0,10.150869319365356,0.0,0.0,0.0,0.0,3.4188467085882714,0.0,0.0,0.0,0.0,12.466353902536586,0.0,0.0,0.0,0.0
52,2067,-0.9795470726784463,0.9795470726784463,0.5128804060117798,0.046213739345113025,-0.4204529273215536,1.7159518429057017,0.0,0.0,0.0,0.0,10.015567925798115,0.0,0.0,0.0,0.0,3.304298884632797,0.0,0.0,0.0,0.0,12.395691343568641,0.0,0.0,0.0,0.0
53,2068,-1.0600286680966637,1.0600286680966637,0.5266953347633303,-0.006637998570003023,-0.5399713319033363,1.5509068336967369,0.0,0.0,0.0,0.0,9.880266532230873,0.0,0.0,0.0,0.0,3.189751060677322,0.0,0.0,0.0,0.0,12.325028784600697,0.0,0.0,0.0,0.0
54,2069,-1.140510263514881,1.140510263514881,0.5405102635148809,-0.05948973648511907,-0.6594897364851191,1.385861824487772,0.0,0.0,0.0,0.0,9.744965138663632,0.0,0.0,0.0,0.0,3.0752032367218476,0.0,0.0,0.0,0.0,12.254366225632753,0.0,0.0,0.0,0.0
55,2070,-1.2209918589330981,1.2209918589330981,0.5543251922664315,-0.11234147440023512,-0.7790081410669019,1.2208168152788073,0.0,0.0,0.0,0.0,9.609663745096391,0.0,0.0,0.0,0.0,2.960655412766373,0.0,0.0,0.0,0.0,12.183703666664808,0.0,0.0,0.0,0.0
56,2071,-1.2982231070089731,1.2982231070089731,0.5648897736756399,-0.16844355965769345,-0.9017768929910268,1.0091430445386305,0.089592089212296,0.089592089212296,0.089592089212296,0.089592089212296,9.380653010011525,0.0,0.0,0.0,0.0,2.765899333895703,0.0,0.0,0.0,0.0,11.985345303645285,0.0,0.0,0.0,0.0
57,2072,-1.3754543550848481,1.3754543550848481,0.5754543550848482,-0.22454564491515178,-1.0245456449151518,0.7974692737984539,0.179184178424592,0.179184178424592,0.179184178424592,0.179184178424592,9.151642274926658,0.0,0.0,0.0,0.0,2.5711432550250337,0.0,0.0,0.0,0.0,11.786986940625763,0.0,0.0,0.0,0.0
58,2073,-1.4526856031607231,1.4526856031607231,0.5860189364940566,-0.2806477301726101,-1.1473143968392767,0.5857955030582771,0.268776267636888,0.268776267636888,0.268776267636888,0.268776267636888,8.922631539841792,0.0,0.0,0.0,0.0,2.376387176154364,0.0,0.0,0.0,0.0,11.58862857760624,0.0,0.0,0.0,0.0
59,2074,-1.5299168512365982,1.5299168512365982,0.5965835179032649,-0.33674981543006843,-1.270083148763402,0.3741217323181004,0.358368356849184,0.358368356849184,0.358368356849184,0.358368356849184,8.693620804756925,0.0,0.0,0.0,0.0,2.1816310972836943,0.0,0.0,0.0,0.0,11.390270214586717,0.0,0.0,0.0,0.0
60,2075,-1.6071480993124732,1.6071480993124732,0.6071480993124732,-0.39285190068752673,-1.3928519006875268,0.16244796157792374,0.44796044606148,0.44796044606148,0.44796044606148,0.44796044606148,8.464610069672059,0.0,0.0,0.0,0.0,1.9868750184130244,0.0,0.0,0.0,0.0,11.191911851567195,0.0,0.0,0.0,0.0
61,2076,-1.6843793473883482,1.6843793473883482,0.6177126807216815,-0.44895398594498503,-1.5156206526116518,-0.049225809162253054,0.537552535273776,0.537552535273776,0.537552535273776,0.537552535273776,8.235599334587192,0.0,0.0,0.0,0.0,1.7921189395423545,0.0,0.0,0.0,0.0,10.993553488547672,0.0,0.0,0.0,0.0
62,2077,-1.7616105954642232,1.7616105954642232,0.6282772621308899,-0.5050560712024434,-1.638389404535777,-0.2608995799024296,0.627144624486072,0.627144624486072,0.627144624486072,0.627144624486072,8.006588599502326,0.0,0.0,0.0,0.0,1.5973628606716848,0.0,0.0,0.0,0.0,10.795195125528151,0.0,0.0,0.0,0.0
63,2078,-1.8388418435400982,1.8388418435400982,0.6388418435400982,-0.5611581564599017,-1.761158156459902,-0.4725733506426064,0.716736713698368,0.716736713698368,0.716736713698368,0.716736713698368,7.777577864417459,0.0,0.0,0.0,0.0,1.402606781801015,0.0,0.0,0.0,0.0,10.596836762508628,0.0,0.0,0.0,0.0
64,2079,-1.9160730916159732,1.9160730916159732,0.6494064249493066,-0.61726024171736,-1.8839269083840269,-0.6842471213827832,0.806328802910664,0.806328802910664,0.806328802910664,0.806328802910664,7.548567129332593,0.0,0.0,0.0,0.0,1.2078507029303454,0.0,0.0,0.0,0.0,10.398478399489106,0.0,0.0,0.0,0.0
65,2080,-1.9933043396918482,1.9933043396918482,0.6599710063585149,-0.6733623269748183,-2.006695660308152,-0.89592089212296,0.89592089212296,0.89592089212296,0.89592089212296,0.89592089212296,7.319556394247726,0.0,0.0,0.0,0.0,1.0130946240596754,0.0,0.0,0.0,0.0,10.200120036469583,0.0,0.0,0.0,0.0
66,2081,-2.0821108919844704,2.0821108919844704,0.6821108919844707,-0.7178891080155292,-2.1178891080155293,-1.0350156110549504,1.0350156110549504,0.9683489443882837,0.901682277721617,0.8350156110549504,7.032811433777846,0.04275974732828898,0.04275974732828898,0.04275974732828898,0.04275974732828898,0.7492567086586006,0.1625284529951073,0.1625284529951073,0.1625284529951073,0.1625284529951073,9.988230231771999,0.0,0.0,0.0,0.0
67,2082,-2.170917444277093,2.170917444277093,0.7042507776104265,-0.7624158890562401,-2.229082555722907,-1.1741103299869406,1.1741103299869406,1.0407769966536073,0.907443663320274,0.7741103299869407,6.746066473307967,0.08551949465657796,0.08551949465657796,0.08551949465657796,0.08551949465657796,0.4854187932575257,0.3250569059902146,0.3250569059902146,0.3250569059902146,0.3250569059902146,9.776340427074416,0.0,0.0,0.0,0.0
68,2083,-2.259723996569716,2.259723996569716,0.7263906632363824,-0.806942670096951,-2.3402760034302843,-1.313205048918931,1.313205048918931,1.1132050489189311,0.9132050489189312,0.7132050489189311,6.459321512838087,0.12827924198486695,0.12827924198486695,0.12827924198486695,0.12827924198486695,0.22158087785645075,0.48758535898532185,0.48758535898532185,0.48758535898532185,0.48758535898532185,9.564450622376832,0.0,0.0,0.0,0.0
69,2084,-2.348530548862338,2.348530548862338,0.748530548862338,-0.8514694511376619,-2.451469451137662,-1.4522997678509215,1.4522997678509215,1.185633101184255,0.9189664345175882,0.6522997678509215,6.172576552368207,0.17103898931315592,0.17103898931315592,0.17103898931315592,0.17103898931315592,-0.042257037544624065,0.6501138119804292,0.6501138119804292,0.6501138119804292,0.6501138119804292,9.352560817679247,0.0,0.0,0.0,0.0
70,2085,-2.4373371011549603,2.4373371011549603,0.7706704344882939,-0.8959962321783728,-2.5626628988450397,-1.591394486782912,1.591394486782912,1.2580611534495785,0.9247278201162452,0.5913944867829118,5.885831591898327,0.2137987366414449,0.2137987366414449,0.2137987366414449,0.2137987366414449,-0.3060949529456989,0.8126422649755365,0.8126422649755365,0.8126422649755365,0.8126422649755365,9.140671012981663,0.0,0.0,0.0,0.0
71,2086,-2.526143653447583,2.526143653447583,0.7928103201142497,-0.9405230132190836,-2.6738563465524168,-1.7304892057149024,1.7304892057149024,1.3304892057149023,0.9304892057149022,0.5304892057149022,5.599086631428447,0.2565584839697339,0.2565584839697339,0.2565584839697339,0.2565584839697339,-0.5699328683467739,0.9751707179706437,0.9751707179706437,0.9751707179706437,0.9751707179706437,8.92878120828408,0.0,0.0,0.0,0.0
72,2087,-2.6149502057402056,2.6149502057402056,0.8149502057402055,-0.9850497942597944,-2.7850497942597947,-1.8695839246468926,1.8695839246468926,1.402917257980226,0.9362505913135593,0.4695839246468926,5.312341670958567,0.2993182312980229,0.2993182312980229,0.2993182312980229,0.2993182312980229,-0.8337707837478487,1.1376991709657511,1.1376991709657511,1.1376991709657511,1.1376991709657511,8.716891403586496,0.0,0.0,0.0,0.0
73,2088,-2.703756758032828,2.703756758032828,0.8370900913661612,-1.0295765753005055,-2.896243241967172,-2.0086786435788833,2.0086786435788833,1.4753453102455496,0.9420119769122164,0.40867864357888295,5.025596710488687,0.34207797862631184,0.34207797862631184,0.34207797862631184,0.34207797862631184,-1.0976086991489236,1.3002276239608583,1.3002276239608583,1.3002276239608583,1.3002276239608583,8.505001598888912,0.0,0.0,0.0,0.0
74,2089,-2.79256331032545,2.79256331032545,0.859229976992117,-1.0741033563412163,-3.0074366896745497,-2.1477733625108737,2.1477733625108737,1.5477733625108734,0.9477733625108734,0.3477733625108733,4.738851750018807,0.3848377259546008,0.3848377259546008,0.3848377259546008,0.3848377259546008,-1.3614466145499986,1.4627560769559655,1.4627560769559655,1.4627560769559655,1.4627560769559655,8.29311179419133,0.0,0.0,0.0,0.0
75,2090,-2.881369862618073,2.881369862618073,0.8813698626180728,-1.1186301373819272,-3.118630137381927,-2.2868680814428637,2.2868680814428637,1.6202014147761972,0.9535347481095304,0.2868680814428637,4.452106789548927,0.4275974732828898,0.4275974732828898,0.4275974732828898,0.4275974732828898,-1.625284529951073,1.625284529951073,1.625284529951073,1.625284529951073,1.625284529951073,8.081221989493745,0.0,0.0,0.0,0.0
76,2091,-2.9720452639950192,2.9720452639950192,0.9720452639950192,-1.0279547360049808,-3.0279547360049808,-2.2932118065632805,2.2932118065632805,1.5598784732299475,0.8265451398966142,0.09321180656328068,4.27097407770463,0.3647449719855961,0.3647449719855961,0.3647449719855961,0.3647449719855961,-1.8668545882400758,1.8668545882400758,1.8001879215734091,1.7335212549067425,1.6668545882400756,7.871054609344688,0.0,0.0,0.0,0.0
77,2092,-3.0627206653719656,3.0627206653719656,1.0627206653719656,-0.9372793346280345,-2.9372793346280344,-2.2995555316836978,2.2995555316836978,1.4995555316836977,0.6995555316836978,-0.10044446831630233,4.089841365860333,0.30189247068830244,0.30189247068830244,0.30189247068830244,0.30189247068830244,-2.1084246465290786,2.1084246465290786,1.975091313195745,1.8417579798624117,1.7084246465290784,7.66088722919563,0.0,0.0,0.0,0.0
78,2093,-3.153396066748912,3.153396066748912,1.153396066748912,-0.8466039332510881,-2.846603933251088,-2.3058992568041146,2.3058992568041146,1.439232590137448,0.5725659234707814,-0.2941007431958853,3.908708654016036,0.23903996939100877,0.23903996939100877,0.23903996939100877,0.23903996939100877,-2.349994704818081,2.349994704818081,2.149994704818081,1.9499947048180812,1.749994704818081,7.450719849046573,0.0,0.0,0.0,0.0
79,2094,-3.2440714681258584,3.2440714681258584,1.2440714681258582,-0.7559285318741418,-2.7559285318741416,-2.312242981924532,2.312242981924532,1.3789096485911985,0.4455763152578651,-0.48775701807546834,3.7275759421717387,0.1761874680937151,0.1761874680937151,0.1761874680937151,0.1761874680937151,-2.5915647631070837,2.5915647631070837,2.324898096440417,2.0582314297737505,1.791564763107084,7.240552468897516,0.0,0.0,0.0,0.0
80,2095,-3.334746869502805,3.334746869502805,1.3347468695028046,-0.6652531304971954,-2.665253130497195,-2.3185867070449486,2.3185867070449486,1.3185867070449486,0.31858670704494885,-0.6814132929550514,3.5464432303274416,0.11333496679642141,0.11333496679642141,0.11333496679642141,0.11333496679642141,-2.8331348213960865,2.8331348213960865,2.4998014880627535,2.16646815472942,1.8331348213960865,7.030385088748458,0.0,0.0,0.0,0.0
81,2096,-3.425422270879751,3.425422270879751,1.425422270879751,-0.574577729120249,-2.574577729120249,-2.3249304321653654,2.3249304321653654,1.258263765498699,0.19159709883203246,-0.8750695678346343,3.365310518483144,0.05048246549912777,0.05048246549912777,0.05048246549912777,0.05048246549912777,-3.0747048796850893,3.0747048796850893,2.6747048796850894,2.2747048796850895,1.8747048796850891,6.820217708599401,0.0,0.0,0.0,0.0
82,2097,-3.5160976722566972,3.5160976722566972,1.5160976722566972,-0.48390232774330266,-2.4839023277433028,-2.3312741572857827,2.3312741572857827,1.1979408239524494,0.06460749061911608,-1.0687258427142174,3.184177806638847,-0.012370035798165868,-0.012370035798165868,-0.012370035798165868,-0.012370035798165868,-3.316274937974092,3.316274937974092,2.8496082713074253,2.382941604640759,1.916274937974092,6.6100503284503445,0.0,0.0,0.0,0.0
83,2098,-3.6067730736336436,3.6067730736336436,1.6067730736336436,-0.39322692636635626,-2.3932269263663564,-2.3376178824061995,2.3376178824061995,1.1376178824061998,-0.06238211759380019,-1.2623821175938004,3.0030450947945497,-0.07522253709545956,-0.07522253709545956,-0.07522253709545956,-0.07522253709545956,-3.5578449962630945,3.5578449962630945,3.0245116629297613,2.491178329596428,1.9578449962630946,6.399882948301287,0.0,0.0,0.0,0.0
84,2099,-3.69744847501059,3.69744847501059,1.69744847501059,-0.30255152498940985,-2.30255152498941,-2.3439616075266168,2.3439616075266168,1.07729494085995,-0.18937172580671646,-1.4560383924733833,2.8219123829502526,-0.13807503839275326,-0.13807503839275326,-0.13807503839275326,-0.13807503839275326,-3.7994150545520973,3.7994150545520973,3.1994150545520976,2.5994150545520975,1.9994150545520974,6.18971556815223,0.0,0.0,0.0,0.0
85,2100,-3.7881238763875364,3.7881238763875364,1.7881238763875364,-0.21187612361246355,-2.2118761236124636,-2.3503053326470336,2.3503053326470336,1.0169719993137003,-0.31636133401963296,-1.6496946673529664,2.6407796711059555,-0.20092753969004695,-0.20092753969004695,-0.20092753969004695,-0.20092753969004695,-4.0409851128411,4.0409851128411,3.3743184461744336,2.707651779507767,2.0409851128411,5.9795481880031724,0.0,0.0,0.0,0.0
